SampleID,sampleID,FR,RR,FR_corrected,otufilename,Project,Site,location,campain,filter,year,month,day,Description
S74,S074,Daniel-22-22-PL-1-B10_S22_L001_R1_001.fastq,Daniel-22-22-PL-1-B10_S22_L001_R2_001.fastq,Daniel-22-22-PL-1-B10_S22_L001_R1_001.fastq,S74,S.,Dor.,Res.,3Jan.,gff.,2013,1,14,Res.3Jan.
S75,S075,Daniel-23-23-PL-1-B11_S23_L001_R1_001.fastq,Daniel-23-23-PL-1-B11_S23_L001_R2_001.fastq,Daniel-23-23-PL-1-B11_S23_L001_R1_001.fastq,S75,S.,Dor.,Res.,3Feb.,gff.,2013,2,11,Res.3Feb.
S76,S076,Daniel-24-24-PL-1-B12_S24_L001_R1_001.fastq,Daniel-24-24-PL-1-B12_S24_L001_R2_001.fastq,Daniel-24-24-PL-1-B12_S24_L001_R1_001.fastq,S76,S.,Dor.,Res.,3Mar.,gff.,2013,3,28,Res.3Mar.
S77,S077,Daniel-25-25-PL-1-C1_S25_L001_R1_001.fastq,Daniel-25-25-PL-1-C1_S25_L001_R2_001.fastq,Daniel-25-25-PL-1-C1_S25_L001_R1_001.fastq,S77,S.,Dor.,Res.,3Apr.,gff.,2013,4,18,Res.3Apr.
S78,S078,Daniel-26-26-PL-1-C2_S26_L001_R1_001.fastq,Daniel-26-26-PL-1-C2_S26_L001_R2_001.fastq,Daniel-26-26-PL-1-C2_S26_L001_R1_001.fastq,S78,S.,Dor.,Res.,3May.,gff.,2013,5,27,Res.3May.
S79,S079,Daniel-27-27-PL-1-C3_S27_L001_R1_001.fastq,Daniel-27-27-PL-1-C3_S27_L001_R2_001.fastq,Daniel-27-27-PL-1-C3_S27_L001_R1_001.fastq,S79,S.,Dor.,Res.,3Jun.,gff.,2013,6,24,Res.3Jun.
S80,S080,Daniel-28-28-PL-1-C4_S28_L001_R1_001.fastq,Daniel-28-28-PL-1-C4_S28_L001_R2_001.fastq,Daniel-28-28-PL-1-C4_S28_L001_R1_001.fastq,S80,S.,Dor.,Res.,3Jul.,gff.,2013,7,29,Res.3Jul.
S81,S081,Daniel-29-29-PL-1-C5_S29_L001_R1_001.fastq,Daniel-29-29-PL-1-C5_S29_L001_R2_001.fastq,Daniel-29-29-PL-1-C5_S29_L001_R1_001.fastq,S81,S.,Dor.,Res.,3Agu.,gff.,2013,8,27,Res.3Agu.
S82,S082,Daniel-30-30-PL-1-C6_S30_L001_R1_001.fastq,Daniel-30-30-PL-1-C6_S30_L001_R2_001.fastq,Daniel-30-30-PL-1-C6_S30_L001_R1_001.fastq,S82,S.,Dor.,Res.,3Sep.,gff.,2013,9,22,Res.3Sep.
S83,S083,Daniel-31-31-PL-1-C7_S31_L001_R1_001.fastq,Daniel-31-31-PL-1-C7_S31_L001_R2_001.fastq,Daniel-31-31-PL-1-C7_S31_L001_R1_001.fastq,S83,S.,Dor.,Res.,3Oct.,gff.,2013,10,21,Res.3Oct.
S84,S084,Daniel-32-32-PL-1-C8_S32_L001_R1_001.fastq,Daniel-32-32-PL-1-C8_S32_L001_R2_001.fastq,Daniel-32-32-PL-1-C8_S32_L001_R1_001.fastq,S84,S.,Dor.,Res.,3Nov.,gff.,2013,11,25,Res.3Nov.
S85,S085,Daniel-33-33-PL-1-C9_S33_L001_R1_001.fastq,Daniel-33-33-PL-1-C9_S33_L001_R2_001.fastq,Daniel-33-33-PL-1-C9_S33_L001_R1_001.fastq,S85,S.,Dor.,Res.,3Dec.,gff.,2013,12,23,Res.3Dec.
S86,S086,Daniel-34-34-PL-1-C10_S34_L001_R1_001.fastq,Daniel-34-34-PL-1-C10_S34_L001_R2_001.fastq,Daniel-34-34-PL-1-C10_S34_L001_R1_001.fastq,S86,S.,Dor.,Res.,4Jan.,gff.,2014,1,21,Res.4Jan.
